,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Vote weight,Party
91,NJ,New Jersey,Union,1836,8.0,51729,42418.0,3.44,9.74,6466.0,0.82,Whig-Harrison
92,NY,New York,Union,1836,42.0,305343,222900.0,20.32,57.5,7270.0,0.73,Democrat
93,NC,North Carolina,Confederate,1836,15.0,50153,79743.0,3.34,9.45,3344.0,1.59,Democrat
94,OH,Ohio,Union,1836,21.0,202333,111283.0,13.46,38.1,9635.0,0.55,Whig-Harrison
95,PA,Pennsylvania,Union,1836,30.0,178692,159036.0,11.89,33.65,5956.0,0.89,Democrat
96,RI,Rhode Island,Union,1836,4.0,5674,21221.0,0.38,1.07,1418.0,3.74,Democrat
97,SC,South Carolina,Confederate,1836,11.0,0,,0.0,0.0,0.0,,Whig-Mangum
98,TN,Tennessee,Confederate,1836,15.0,62197,79612.0,4.14,11.71,4146.0,1.28,Whig-White
99,VT,Vermont,Union,1836,7.0,35031,37133.0,2.33,6.6,5004.0,1.06,Whig-Harrison
100,VA,Virginia,Confederate,1836,23.0,53945,121916.0,3.59,10.16,2345.0,2.26,Democrat
101,,,Postbellum,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,
102,AL,Alabama,Confederate,1840,7.0,62511,59385.0,2.59,7.33,8930.0,0.95,Democrat
103,AR,Arkansas,Confederate,1840,3.0,11839,25572.0,0.49,1.39,3946.0,2.16,Democrat
104,CT,Connecticut,Union,1840,8.0,56879,68255.0,2.36,6.67,7110.0,1.2,Whig
105,DE,Delaware,Border,1840,3.0,10852,25611.0,0.45,1.27,3617.0,2.36,Whig
106,GA,Georgia,Confederate,1840,11.0,72322,94019.0,3.0,8.48,6575.0,1.3,Whig
107,IL,Illinois,Union,1840,5.0,93175,42860.0,3.86,10.93,18635.0,0.46,Democrat
108,IN,Indiana,Union,1840,9.0,116906,77158.0,4.85,13.71,12990.0,0.66,Whig
109,KY,Kentucky,Border,1840,15.0,91104,127546.0,3.78,10.69,6074.0,1.4,Whig
110,LA,Louisiana,Confederate,1840,5.0,18912,42552.0,0.78,2.22,3782.0,2.25,Whig
111,ME,Maine,Union,1840,10.0,92802,85378.0,3.85,10.89,9280.0,0.92,Whig
112,MD,Maryland,Border,1840,10.0,62280,85324.0,2.58,7.31,6228.0,1.37,Whig
113,MA,Massachusetts,Union,1840,14.0,126825,119216.0,5.26,14.88,9059.0,0.94,Whig
114,MI,Michigan,Union,1840,3.0,44350,25723.0,1.84,5.2,14783.0,0.58,Whig
115,MS,Mississippi,Confederate,1840,4.0,36525,33968.0,1.51,4.28,9131.0,0.93,Whig
116,MO,Missouri,Border,1840,4.0,52923,33871.0,2.19,6.21,13231.0,0.64,Democrat
