,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
157,Small,1948,53.0,2800274,4872477.0,5.74,30.47,52835.0,1.74,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
158,South,1948,164.0,8105026,15075348.0,16.61,88.2,49421.0,1.86,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
159,West,1948,45.0,5965914,4116481.0,12.23,64.92,132576.0,0.69,4,"CA,CO,OR,WA"
160,Midwest,1952,145.0,20589247,16883183.0,33.34,177.04,141995.0,0.82,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
161,Northeast,1952,117.0,17609073,13558986.0,28.52,151.42,150505.0,0.77,5,"CT,MA,NJ,NY,PA"
162,Small,1952,53.0,3512667,6147167.0,5.69,30.21,66277.0,1.75,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
163,South,1952,163.0,12271482,18898082.0,19.87,105.52,75285.0,1.54,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
164,West,1952,53.0,7769473,6137884.0,12.58,66.81,146594.0,0.79,4,"CA,CO,OR,WA"
165,Midwest,1956,145.0,20565816,16863969.0,33.16,176.08,141833.0,0.82,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
166,Northeast,1956,117.0,17619302,13743056.0,28.41,150.85,150592.0,0.78,5,"CT,MA,NJ,NY,PA"
167,Small,1956,53.0,3528193,6174338.0,5.69,30.21,66570.0,1.75,14,"AZ,DE,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
168,South,1956,163.0,12292102,19052758.0,19.82,105.24,75412.0,1.55,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
169,West,1956,53.0,8015915,6172255.0,12.92,68.63,151244.0,0.77,4,"CA,CO,OR,WA"
170,Midwest,1960,145.0,22393846,18586892.0,32.53,174.71,154440.0,0.83,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
171,Northeast,1960,117.0,18763094,15010475.0,27.26,146.38,160368.0,0.8,5,"CT,MA,NJ,NY,PA"
172,Small,1960,59.0,4227840,7567834.0,6.14,32.98,71658.0,1.79,16,"AK,AZ,DE,HI,ID,ME,MT,NV,NH,NM,ND,RI,SD,UT,VT,WY"
173,South,1960,163.0,14186885,20854721.0,20.61,110.68,87036.0,1.47,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
174,West,1960,53.0,9260817,6760396.0,13.45,72.25,174732.0,0.73,4,"CA,CO,OR,WA"
175,Midwest,1964,136.0,21073341,17912340.0,29.83,160.5,154951.0,0.85,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
176,Northeast,1964,111.0,18398851,14535092.0,26.05,140.13,165755.0,0.79,5,"CT,MA,NJ,NY,PA"
177,Small,1964,68.0,5088296,8904518.0,7.2,38.75,74828.0,1.75,18,"AK,AZ,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
178,South,1964,162.0,16199363,21221166.0,22.93,123.38,99996.0,1.31,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
