,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
121,Northeast,1904,114.0,4020315,3256455.0,29.72,141.49,35266.0,0.81,6,"CT,ME,MA,NJ,NY,PA"
122,Small,1904,57.0,1225164,1617216.0,9.06,43.12,21494.0,1.32,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
123,South,1904,143.0,2239086,4052746.0,16.56,78.8,15658.0,1.81,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
124,West,1904,10.0,331878,285415.0,2.45,11.68,33188.0,0.86,1,CA
125,Nat'l Average,1904,476.0,13525095,13525095.0,100.0,476.0,28414.0,1.0,45,All 45
126,Midwest,1908,152.0,6178948,4696000.0,41.5,200.44,40651.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
127,Northeast,1908,114.0,4126169,3507244.0,27.71,133.85,36194.0,0.85,6,"CT,ME,MA,NJ,NY,PA"
128,Small,1908,57.0,1416753,1756774.0,9.52,45.96,24855.0,1.24,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
129,South,1908,150.0,2782706,4619292.0,18.69,90.27,18551.0,1.66,14,"AL,AR,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
130,West,1908,10.0,386597,309278.0,2.6,12.54,38660.0,0.8,1,CA
131,Nat'l Average,1908,483.0,14889239,14889239.0,100.0,483.0,30827.0,1.0,46,All 46
132,Midwest,1912,157.0,5928804,4446603.0,39.41,209.26,37763.0,0.75,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
133,Northeast,1912,128.0,4046884,3642196.0,26.9,142.84,31616.0,0.9,6,"CT,ME,MA,NJ,NY,PA"
134,Small,1912,55.0,1050810,1555199.0,6.98,37.09,19106.0,1.48,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
