,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted %,EC votes normalized,Population per EC vote,Vote weight,Party
0,AL,Alabama,Confederate,1828,5.0,18618,1.62,4.23,3724.0,1.18,Democrat
1,CT,Connecticut,Northeast,1828,8.0,19378,1.69,4.41,2422.0,1.82,National Republican
2,GA,Georgia,Confederate,1828,9.0,20004,1.74,4.55,2223.0,1.98,Democrat
3,IL,Illinois,Midwest,1828,3.0,14222,1.24,3.23,4741.0,0.93,Democrat
4,IN,Indiana,Midwest,1828,5.0,39210,3.42,8.91,7842.0,0.56,Democrat
5,KY,Kentucky,Border,1828,14.0,70776,6.17,16.09,5055.0,0.87,Democrat
6,LA,Louisiana,Confederate,1828,5.0,8687,0.76,1.97,1737.0,2.53,Democrat
7,ME,Maine,Northeast,1828,9.0,34789,3.03,7.91,3865.0,1.14,National Republican
8,MD,Maryland,Border,1828,11.0,45796,3.99,10.41,4163.0,1.06,National Republican
9,MA,Massachusetts,Northeast,1828,15.0,39074,3.4,8.88,2605.0,1.69,National Republican
10,MS,Mississippi,Confederate,1828,3.0,8344,0.73,1.9,2781.0,1.58,Democrat
11,MO,Missouri,Border,1828,3.0,11654,1.02,2.65,3885.0,1.13,Democrat
12,NH,New Hampshire,Northeast,1828,8.0,44035,3.84,10.01,5504.0,0.8,National Republican
13,NJ,New Jersey,Northeast,1828,8.0,45570,3.97,10.36,5696.0,0.77,National Republican
14,NY,New York,Northeast,1828,36.0,270975,23.6,61.6,7527.0,0.58,Democrat
15,NC,North Carolina,Confederate,1828,15.0,51747,4.51,11.76,3450.0,1.28,Democrat
16,OH,Ohio,Midwest,1828,16.0,131049,11.42,29.79,8191.0,0.54,Democrat
17,PA,Pennsylvania,Northeast,1828,28.0,152220,13.26,34.6,5436.0,0.81,Democrat
18,RI,Rhode Island,Northeast,1828,4.0,3580,0.31,0.81,895.0,4.91,National Republican
19,TN,Tennessee,Confederate,1828,11.0,46533,4.05,10.58,4230.0,1.04,Democrat
20,VT,Vermont,Northeast,1828,7.0,32833,2.86,7.46,4690.0,0.94,National Republican
21,VA,Virginia,Confederate,1828,24.0,38924,3.39,8.85,1622.0,2.71,Democrat
22,,,West,1828,0.0,0,0.0,0.0,0.0,0.0,
23,AL,Alabama,Confederate,1832,7.0,14291,1.12,3.22,2042.0,2.17,Democrat
24,CT,Connecticut,Northeast,1832,8.0,32833,2.57,7.41,4104.0,1.08,National Republican
25,DE,Delaware,Border,1832,3.0,8386,0.66,1.89,2795.0,1.59,National Republican
26,GA,Georgia,Confederate,1832,11.0,20750,1.63,4.68,1886.0,2.35,Democrat
