,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
127,Northeast,1884,101.0,2903085,2525684.0,28.86,115.72,28743.0,0.87,6,"CT,ME,MA,NJ,NY,PA"
128,Small,1884,28.0,398730,701765.0,3.96,15.89,14240.0,1.76,8,"CO,DE,FL,NV,NH,OR,RI,VT"
129,South,1884,130.0,2479173,3272508.0,24.64,98.82,19071.0,1.32,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
130,West,1884,8.0,196988,200928.0,1.96,7.85,24624.0,1.02,1,CA
131,Nat'l Average,1884,401.0,10060145,10060145.0,100.0,401.0,25088.0,1.0,38,All 37
132,Midwest,1888,134.0,4677654,3788900.0,41.07,164.7,34908.0,0.81,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
133,Northeast,1888,101.0,3247591,2857880.0,28.52,114.35,32154.0,0.88,6,"CT,ME,MA,NJ,NY,PA"
134,Small,1888,28.0,459403,794767.0,4.03,16.18,16407.0,1.73,8,"CO,DE,FL,NV,NH,OR,RI,VT"
135,South,1888,130.0,2752859,3688831.0,24.17,96.93,21176.0,1.34,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
136,West,1888,8.0,251339,226205.0,2.21,8.85,31417.0,0.9,1,CA
137,Nat'l Average,1888,401.0,11388846,11388846.0,100.0,401.0,28401.0,1.0,38,All 37
138,Midwest,1892,145.0,4892127,3962623.0,40.54,179.99,33739.0,0.81,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
139,Northeast,1892,105.0,3349500,2847075.0,27.76,123.23,31900.0,0.85,6,"CT,ME,MA,NJ,NY,PA"
140,Small,1892,50.0,729490,1356851.0,6.04,26.84,14590.0,1.86,14,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,VT,WA,WY"
141,South,1892,135.0,2827301,3675491.0,23.43,104.02,20943.0,1.3,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
142,West,1892,9.0,269609,245344.0,2.23,9.92,29957.0,0.91,1,CA
143,Nat'l Average,1892,444.0,12068027,12068027.0,100.0,444.0,27180.0,1.0,44,All 43
144,Midwest,1896,145.0,5830221,4547572.0,41.83,186.97,40208.0,0.78,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
145,Northeast,1896,105.0,3683819,3278599.0,26.43,118.14,35084.0,0.89,6,"CT,ME,MA,NJ,NY,PA"
146,Small,1896,53.0,990599,1654300.0,7.11,31.77,18691.0,1.67,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
147,South,1896,135.0,3135616,4201725.0,22.5,100.56,23227.0,1.34,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
148,West,1896,9.0,298419,280514.0,2.14,9.57,33158.0,0.94,1,CA
149,Nat'l Average,1896,447.0,13938674,13938674.0,100.0,447.0,31183.0,1.0,45,All 44
150,Midwest,1900,145.0,5948462,4520831.0,42.5,189.96,41024.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
151,Northeast,1900,105.0,3822994,3287775.0,27.31,122.09,36409.0,0.86,6,"CT,ME,MA,NJ,NY,PA"
152,Small,1900,53.0,1129127,1659817.0,8.07,36.06,21304.0,1.47,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
153,South,1900,135.0,2794528,4219737.0,19.96,89.24,20700.0,1.51,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
154,West,1900,9.0,302318,281156.0,2.16,9.65,33591.0,0.93,1,CA
155,Nat'l Average,1900,447.0,13997429,13997429.0,100.0,447.0,31314.0,1.0,45,All 44
156,Midwest,1904,152.0,5708652,4338576.0,42.21,200.91,37557.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
157,Northeast,1904,114.0,4020315,3256455.0,29.72,141.49,35266.0,0.81,6,"CT,ME,MA,NJ,NY,PA"
158,Small,1904,42.0,797641,1196462.0,5.9,28.07,18991.0,1.5,12,"DE,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WY"
159,South,1904,148.0,2277791,4213913.0,16.84,80.16,15390.0,1.85,14,"AL,AR,FL,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
160,West,1904,20.0,720696,569350.0,5.33,25.36,36035.0,0.79,3,"CA,CO,WA"
161,Nat'l Average,1904,476.0,13525095,13525095.0,100.0,476.0,28414.0,1.0,45,All 44
162,Midwest,1908,152.0,6178948,4696000.0,41.5,200.44,40651.0,0.76,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
163,Northeast,1908,114.0,4126169,3507244.0,27.71,133.85,36194.0,0.85,6,"CT,ME,MA,NJ,NY,PA"
164,Small,1908,42.0,919656,1296715.0,6.18,29.83,21897.0,1.41,12,"DE,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WY"
165,South,1908,155.0,2832066,4786192.0,19.02,91.87,18271.0,1.69,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
166,West,1908,20.0,834334,617407.0,5.6,27.07,41717.0,0.74,3,"CA,CO,WA"
167,Nat'l Average,1908,483.0,14889239,14889239.0,100.0,483.0,30827.0,1.0,46,All 45
168,Midwest,1912,167.0,6131709,4721416.0,40.76,216.42,36717.0,0.77,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
169,Northeast,1912,133.0,4124778,3753548.0,27.42,145.59,31013.0,0.91,7,"CT,ME,MA,NJ,NY,PA,RI"
170,Small,1912,35.0,632971,993764.0,4.21,22.34,18085.0,1.57,10,"AZ,DE,ID,MT,NV,NH,NM,UT,VT,WY"
171,South,1912,165.0,2754579,4682784.0,18.31,97.23,16694.0,1.7,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
172,West,1912,31.0,1400246,882155.0,9.31,49.42,45169.0,0.63,4,"CA,CO,OR,WA"
173,Nat'l Average,1912,531.0,15044278,15044278.0,100.0,531.0,28332.0,1.0,48,All 47
174,Midwest,1916,167.0,8024283,5857727.0,43.29,229.86,48050.0,0.73,12,"IL,IN,IA,KS,MI,MN,MO,NE,ND,OH,SD,WI"
175,Northeast,1916,133.0,4467763,4646474.0,24.1,127.98,33592.0,1.04,7,"CT,ME,MA,NJ,NY,PA,RI"
176,Small,1916,35.0,870816,1219142.0,4.7,24.95,24880.0,1.4,10,"AZ,DE,ID,MT,NV,NH,NM,UT,VT,WY"
177,South,1916,165.0,3237101,5762040.0,17.46,92.73,19619.0,1.78,15,"AL,AR,FL,GA,KY,LA,MD,MS,NC,OK,SC,TN,TX,VA,WV"
178,West,1916,31.0,1936622,1084508.0,10.45,55.48,62472.0,0.56,4,"CA,CO,OR,WA"
179,Nat'l Average,1916,531.0,18536585,18536585.0,100.0,531.0,34909.0,1.0,48,All 47
