,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
191,Confederate,1980,130.0,20676416,20883180.0,23.9,128.59,159049.0,1.01,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
192,Postbellum,1980,30.0,4950462,4801948.0,5.72,30.79,165015.0,0.97,4,"AZ,CO,OK,WA"
193,Small,1980,62.0,5964120,9960080.0,6.89,37.09,96195.0,1.67,17,"AK,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
194,Union,1980,279.0,49246018,44813876.0,56.93,306.26,176509.0,0.91,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
195,Border,1984,36.0,5904847,6200089.0,6.37,34.29,164024.0,1.05,4,"KY,MD,MO,WV"
196,Confederate,1984,138.0,23329377,23795965.0,25.18,135.46,169053.0,1.02,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
197,Postbellum,1984,33.0,5460864,5679299.0,5.89,31.71,165481.0,1.04,4,"AZ,CO,OK,WA"
198,Small,1984,64.0,6290572,11008501.0,6.79,36.53,98290.0,1.75,17,"AK,DE,DC,HI,ID,ME,MT,NE,NV,NH,NM,ND,RI,SD,UT,VT,WY"
199,Union,1984,267.0,51667573,45984140.0,55.76,300.01,193512.0,0.89,15,"CA,CT,IL,IN,IA,KS,MA,MI,MN,NJ,NY,OH,OR,PA,WI"
200,Border,1988,36.0,5783414,6130419.0,6.31,33.97,160650.0,1.06,4,"KY,MD,MO,WV"
