,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
162,Border,1908,46.0,1703282,1413724.0,11.44,55.25,37028.0,0.83,4,"KY,MD,MO,WV"
163,Confederate,1908,115.0,1538434,3538398.0,10.33,49.91,13378.0,2.3,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
164,Postbellum,1908,15.0,523716,460870.0,3.52,16.99,34914.0,0.88,2,"NE,OK"
165,Small,1908,57.0,1416753,1756774.0,9.52,45.96,24855.0,1.24,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
166,Union,1908,250.0,9708988,7670101.0,65.21,314.95,38836.0,0.79,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
167,Nat'l Average,1908,483.0,14889239,14889239.0,100.0,483.0,30827.0,1.0,46,All 46
168,Border,1912,47.0,1652089,1338192.0,10.98,58.31,35151.0,0.81,4,"KY,MD,MO,WV"
169,Confederate,1912,126.0,1547255,3574159.0,10.28,54.61,12280.0,2.31,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
170,Postbellum,1912,31.0,1092963,874370.0,7.26,38.58,35257.0,0.8,4,"CO,NE,OK,WA"
171,Small,1912,55.0,1050810,1555199.0,6.98,37.09,19106.0,1.48,14,"AZ,DE,ID,MT,NV,NH,NM,ND,OR,RI,SD,UT,VT,WY"
172,Union,1912,272.0,9701166,7663921.0,64.48,342.41,35666.0,0.79,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
173,Nat'l Average,1912,531.0,15044278,15044278.0,100.0,531.0,28332.0,1.0,48,All 48
174,Border,1916,47.0,1858738,1635689.0,10.03,53.25,39548.0,0.88,4,"KY,MD,MO,WV"
175,Confederate,1916,126.0,1872379,4400091.0,10.1,53.64,14860.0,2.35,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
